"id","created_at","updated_at","deleted_at","name"
"12","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"SUMATERA UTARA"
"13","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"SUMATERA BARAT"
"14","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"RIAU"
"15","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"JAMBI"
"16","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"SUMATERA SELATAN"
"17","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"BENGKULU"
"18","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"LAMPUNG"
"19","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"KEPULAUAN BANGKA BELITUNG"
"21","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"KEPULAUAN RIAU"
"31","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"DKI JAKARTA"
"32","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"JAWA BARAT"
"33","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"JAWA TENGAH"
"34","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"DI YOGYAKARTA"
"35","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"JAWA TIMUR"
"36","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"BANTEN"
"51","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"BALI"
"52","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"NUSA TENGGARA BARAT"
"53","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"NUSA TENGGARA TIMUR"
"61","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"KALIMANTAN BARAT"
"62","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"KALIMANTAN TENGAH"
"63","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"KALIMANTAN SELATAN"
"64","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"KALIMANTAN TIMUR"
"65","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"KALIMANTAN UTARA"
"71","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"SULAWESI UTARA"
"72","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"SULAWESI TENGAH"
"73","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"SULAWESI SELATAN"
"74","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"SULAWESI TENGGARA"
"75","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"GORONTALO"
"76","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"SULAWESI BARAT"
"81","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"MALUKU"
"82","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"MALUKU UTARA"
"91","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"PAPUA BARAT"
"94","2020-10-26 13:10:13.010844+07:07","2020-10-26 13:10:13.010844+07:07",,"PAPUA"
"11","2020-10-26 13:10:13+07:07","2020-10-26 13:10:13+07:07",,"ACEH"
